# x_nm	y_nm	p
# Raw mesh domain: 184.29 x 184.29 nm
# Grid: 200 x 200
-92.1438	-92.1438	0.0
-91.2177	-92.1438	0.0
-90.2917	-92.1438	0.0
-89.3656	-92.1438	0.0
-88.4395	-92.1438	0.0
-87.5134	-92.1438	0.0
-86.5874	-92.1438	0.0
-85.6613	-92.1438	0.0
-84.7352	-92.1438	0.0
-83.8092	-92.1438	0.0
-82.8831	-92.1438	0.0
-81.957	-92.1438	0.0
-81.031	-92.1438	0.0
-80.1049	-92.1438	0.0
-79.1788	-92.1438	0.0
-78.2528	-92.1438	0.0
-77.3267	-92.1438	0.0
-76.4006	-92.1438	0.0
-75.4746	-92.1438	0.0
-74.5485	-92.1438	0.0
-73.6224	-92.1438	0.0
-72.6964	-92.1438	0.0
-71.7703	-92.1438	0.0
-70.8442	-92.1438	0.0
-69.9182	-92.1438	0.0
-68.9921	-92.1438	0.0
-68.066	-92.1438	0.0
-67.1399	-92.1438	0.0
-66.2139	-92.1438	0.0
-65.2878	-92.1438	0.0
-64.3617	-92.1438	0.0
-63.4357	-92.1438	0.0
-62.5096	-92.1438	0.0
-61.5835	-92.1438	0.0
-60.6575	-92.1438	0.0
-59.7314	-92.1438	0.0
-58.8053	-92.1438	0.0
-57.8793	-92.1438	0.0
-56.9532	-92.1438	0.0
-56.0271	-92.1438	0.0
-55.1011	-92.1438	0.0
-54.175	-92.1438	0.0
-53.2489	-92.1438	0.0
-52.3229	-92.1438	0.0
-51.3968	-92.1438	0.0
-50.4707	-92.1438	0.0
-49.5446	-92.1438	0.0
-48.6186	-92.1438	0.0
-47.6925	-92.1438	0.0
-46.7664	-92.1438	0.0
-45.8404	-92.1438	0.0
-44.9143	-92.1438	0.0
-43.9882	-92.1438	0.0
-43.0622	-92.1438	0.0
-42.1361	-92.1438	0.0
-41.21	-92.1438	0.0
-40.284	-92.1438	0.0
-39.3579	-92.1438	0.0
-38.4318	-92.1438	0.0
-37.5058	-92.1438	0.0
-36.5797	-92.1438	0.0
-35.6536	-92.1438	0.0
-34.7276	-92.1438	0.0
-33.8015	-92.1438	0.0
-32.8754	-92.1438	0.0
-31.9494	-92.1438	0.0
-31.0233	-92.1438	0.0
-30.0972	-92.1438	0.0
-29.1711	-92.1438	0.0
-28.2451	-92.1438	0.0
-27.319	-92.1438	0.0
-26.3929	-92.1438	0.0
-25.4669	-92.1438	0.0
-24.5408	-92.1438	0.0
-23.6147	-92.1438	0.0
-22.6887	-92.1438	0.0
-21.7626	-92.1438	0.0
-20.8365	-92.1438	0.0
-19.9105	-92.1438	0.0
-18.9844	-92.1438	0.0
-18.0583	-92.1438	0.0
-17.1323	-92.1438	0.0
-16.2062	-92.1438	0.0
-15.2801	-92.1438	0.0
-14.3541	-92.1438	0.0
-13.428	-92.1438	0.0
-12.5019	-92.1438	0.0
-11.5759	-92.1438	0.0
-10.6498	-92.1438	0.0
-9.7237	-92.1438	0.0
-8.7976	-92.1438	0.0
-7.8716	-92.1438	0.0
-6.9455	-92.1438	0.0
-6.0194	-92.1438	0.0
-5.0934	-92.1438	0.0
-4.1673	-92.1438	0.0
-3.2412	-92.1438	0.0
-2.3152	-92.1438	0.0
-1.3891	-92.1438	0.0
-0.463	-92.1438	0.0
0.463	-92.1438	0.0
1.3891	-92.1438	0.0
2.3152	-92.1438	0.0
3.2412	-92.1438	0.0
4.1673	-92.1438	0.0
5.0934	-92.1438	0.0
6.0194	-92.1438	0.0
6.9455	-92.1438	0.0
7.8716	-92.1438	0.0
8.7976	-92.1438	0.0
9.7237	-92.1438	0.0
10.6498	-92.1438	0.0
11.5759	-92.1438	0.0
12.5019	-92.1438	0.0
13.428	-92.1438	0.0
14.3541	-92.1438	0.0
15.2801	-92.1438	0.0
16.2062	-92.1438	0.0
17.1323	-92.1438	0.0
18.0583	-92.1438	0.0
18.9844	-92.1438	0.0
19.9105	-92.1438	0.0
20.8365	-92.1438	0.0
21.7626	-92.1438	0.0
22.6887	-92.1438	0.0
23.6147	-92.1438	0.0
24.5408	-92.1438	0.0
25.4669	-92.1438	0.0
26.3929	-92.1438	0.0
27.319	-92.1438	0.0
28.2451	-92.1438	0.0
29.1711	-92.1438	0.0
30.0972	-92.1438	0.0
31.0233	-92.1438	0.0
31.9494	-92.1438	0.0
32.8754	-92.1438	0.0
33.8015	-92.1438	0.0
34.7276	-92.1438	0.0
35.6536	-92.1438	0.0
36.5797	-92.1438	0.0
37.5058	-92.1438	0.0
38.4318	-92.1438	0.0
39.3579	-92.1438	0.0
40.284	-92.1438	0.0
41.21	-92.1438	0.0
42.1361	-92.1438	0.0
43.0622	-92.1438	0.0
43.9882	-92.1438	0.0
44.9143	-92.1438	0.0
45.8404	-92.1438	0.0
46.7664	-92.1438	0.0
47.6925	-92.1438	0.0
48.6186	-92.1438	0.0
49.5446	-92.1438	0.0
50.4707	-92.1438	0.0
51.3968	-92.1438	0.0
52.3229	-92.1438	0.0
53.2489	-92.1438	0.0
54.175	-92.1438	0.0
55.1011	-92.1438	0.0
56.0271	-92.1438	0.0
56.9532	-92.1438	0.0
57.8793	-92.1438	0.0
58.8053	-92.1438	0.0
59.7314	-92.1438	0.0
60.6575	-92.1438	0.0
61.5835	-92.1438	0.0
62.5096	-92.1438	0.0
63.4357	-92.1438	0.0
64.3617	-92.1438	0.0
65.2878	-92.1438	0.0
66.2139	-92.1438	0.0
67.1399	-92.1438	0.0
68.066	-92.1438	0.0
68.9921	-92.1438	0.0
69.9182	-92.1438	0.0
70.8442	-92.1438	0.0
71.7703	-92.1438	0.0
72.6964	-92.1438	0.0
73.6224	-92.1438	0.0
74.5485	-92.1438	0.0
75.4746	-92.1438	0.0
76.4006	-92.1438	0.0
77.3267	-92.1438	0.0
78.2528	-92.1438	0.0
79.1788	-92.1438	0.0
80.1049	-92.1438	0.0
81.031	-92.1438	0.0
81.957	-92.1438	0.0
82.8831	-92.1438	0.0
83.8092	-92.1438	0.0
84.7352	-92.1438	0.0
85.6613	-92.1438	0.0
86.5874	-92.1438	0.0
87.5134	-92.1438	0.0
88.4395	-92.1438	0.0
89.3656	-92.1438	0.0
90.2917	-92.1438	0.0
91.2177	-92.1438	0.0
92.1438	-92.1438	0.0
-92.1438	-91.2177	0.0
-91.2177	-91.2177	0.0
-90.2917	-91.2177	0.0
-89.3656	-91.2177	0.0
-88.4395	-91.2177	0.0
-87.5134	-91.2177	0.0
-86.5874	-91.2177	0.0
-85.6613	-91.2177	0.0
-84.7352	-91.2177	0.0
-83.8092	-91.2177	0.0
-82.8831	-91.2177	0.0
-81.957	-91.2177	0.0
-81.031	-91.2177	0.0
-80.1049	-91.2177	0.0
-79.1788	-91.2177	0.0
-78.2528	-91.2177	0.0
-77.3267	-91.2177	0.0
-76.4006	-91.2177	0.0
-75.4746	-91.2177	0.0
-74.5485	-91.2177	0.0
-73.6224	-91.2177	0.0
-72.6964	-91.2177	0.0
-71.7703	-91.2177	0.0
-70.8442	-91.2177	0.0
-69.9182	-91.2177	0.0
-68.9921	-91.2177	0.0
-68.066	-91.2177	0.0
-67.1399	-91.2177	0.0
-66.2139	-91.2177	0.0
-65.2878	-91.2177	0.0
-64.3617	-91.2177	0.0
-63.4357	-91.2177	0.0
-62.5096	-91.2177	0.0
-61.5835	-91.2177	0.0
-60.6575	-91.2177	0.0
-59.7314	-91.2177	0.0
-58.8053	-91.2177	0.0
-57.8793	-91.2177	0.0
-56.9532	-91.2177	0.0
-56.0271	-91.2177	0.0
-55.1011	-91.2177	0.0
-54.175	-91.2177	0.0
-53.2489	-91.2177	0.0
-52.3229	-91.2177	0.0
-51.3968	-91.2177	0.0
-50.4707	-91.2177	0.0
-49.5446	-91.2177	0.0
-48.6186	-91.2177	0.0
-47.6925	-91.2177	0.0
-46.7664	-91.2177	0.0
-45.8404	-91.2177	0.0
-44.9143	-91.2177	0.0
-43.9882	-91.2177	0.0
-43.0622	-91.2177	0.0
-42.1361	-91.2177	0.0
-41.21	-91.2177	0.0
-40.284	-91.2177	0.0
-39.3579	-91.2177	0.0
-38.4318	-91.2177	0.0
-37.5058	-91.2177	0.0
-36.5797	-91.2177	0.0
-35.6536	-91.2177	0.0
-34.7276	-91.2177	0.0
-33.8015	-91.2177	0.0
-32.8754	-91.2177	0.0
-31.9494	-91.2177	0.0
-31.0233	-91.2177	0.0
-30.0972	-91.2177	0.0
-29.1711	-91.2177	0.0
-28.2451	-91.2177	0.0
-27.319	-91.2177	0.0
-26.3929	-91.2177	0.0
-25.4669	-91.2177	0.0
-24.5408	-91.2177	0.0
-23.6147	-91.2177	0.0
-22.6887	-91.2177	0.0
-21.7626	-91.2177	0.0
-20.8365	-91.2177	0.0
-19.9105	-91.2177	0.0
-18.9844	-91.2177	0.0
-18.0583	-91.2177	0.0
-17.1323	-91.2177	0.0
-16.2062	-91.2177	0.0
-15.2801	-91.2177	0.0
-14.3541	-91.2177	0.0
-13.428	-91.2177	0.0
-12.5019	-91.2177	0.0
-11.5759	-91.2177	0.0
-10.6498	-91.2177	0.0
-9.7237	-91.2177	0.0
-8.7976	-91.2177	0.0
-7.8716	-91.2177	0.0
-6.9455	-91.2177	0.0
-6.0194	-91.2177	0.0
-5.0934	-91.2177	0.0
-4.1673	-91.2177	0.0
-3.2412	-91.2177	0.0
-2.3152	-91.2177	0.0
-1.3891	-91.2177	0.0
-0.463	-91.2177	0.0
0.463	-91.2177	0.0
1.3891	-91.2177	0.0
2.3152	-91.2177	0.0
3.2412	-91.2177	0.0
4.1673	-91.2177	0.0
5.0934	-91.2177	0.0
6.0194	-91.2177	0.0
6.9455	-91.2177	0.0
7.8716	-91.2177	0.0
8.7976	-91.2177	0.0
9.7237	-91.2177	0.0
10.6498	-91.2177	0.0
11.5759	-91.2177	0.0
12.5019	-91.2177	0.0
13.428	-91.2177	0.0
14.3541	-91.2177	0.0
15.2801	-91.2177	0.0
16.2062	-91.2177	0.0
17.1323	-91.2177	0.0
18.0583	-91.2177	0.0
18.9844	-91.2177	0.0
19.9105	-91.2177	0.0
20.8365	-91.2177	0.0
21.7626	-91.2177	0.0
22.6887	-91.2177	0.0
23.6147	-91.2177	0.0
24.5408	-91.2177	0.0
25.4669	-91.2177	0.0
26.3929	-91.2177	0.0
27.319	-91.2177	0.0
28.2451	-91.2177	0.0
29.1711	-91.2177	0.0
30.0972	-91.2177	0.0
31.0233	-91.2177	0.0
31.9494	-91.2177	0.0
32.8754	-91.2177	0.0
33.8015	-91.2177	0.0
34.7276	-91.2177	0.0
35.6536	-91.2177	0.0
36.5797	-91.2177	0.0
37.5058	-91.2177	0.0
38.4318	-91.2177	0.0
39.3579	-91.2177	0.0
40.284	-91.2177	0.0
41.21	-91.2177	0.0
42.1361	-91.2177	0.0
43.0622	-91.2177	0.0
43.9882	-91.2177	0.0
44.9143	-91.2177	0.0
45.8404	-91.2177	0.0
46.7664	-91.2177	0.0
47.6925	-91.2177	0.0
48.6186	-91.2177	0.0
49.5446	-91.2177	0.0
50.4707	-91.2177	0.0
51.3968	-91.2177	0.0
52.3229	-91.2177	0.0
53.2489	-91.2177	0.0
