# x_nm	y_nm	p
# Raw mesh domain: 184.29 x 164.18 nm
# Grid: 200 x 200
-75.4746	-71.211	0.0
-74.5485	-71.211	0.0
-73.6224	-71.211	0.0
-72.6964	-71.211	0.0
-71.7703	-71.211	0.0
-70.8442	-71.211	0.0
-69.9182	-71.211	0.0
-68.9921	-71.211	0.0
-68.066	-71.211	0.0
-67.1399	-71.211	0.0
-66.2139	-71.211	0.0
-65.2878	-71.211	0.0
-64.3617	-71.211	0.0
-63.4357	-71.211	0.0
-62.5096	-71.211	0.0
-61.5835	-71.211	0.0
-60.6575	-71.211	0.0
-59.7314	-71.211	0.0
-58.8053	-71.211	0.0
-57.8793	-71.211	0.0
-56.9532	-71.211	0.0
-56.0271	-71.211	0.0
-55.1011	-71.211	0.0
-54.175	-71.211	0.0
-53.2489	-71.211	0.0
-52.3229	-71.211	0.0
-51.3968	-71.211	0.0
-50.4707	-71.211	0.0
-49.5446	-71.211	0.0
-48.6186	-71.211	0.0
-47.6925	-71.211	0.0
-46.7664	-71.211	0.0
-45.8404	-71.211	0.0
-44.9143	-71.211	0.0
-43.9882	-71.211	0.0
-43.0622	-71.211	0.0
-42.1361	-71.211	0.0
-41.21	-71.211	0.0
-40.284	-71.211	0.0
-39.3579	-71.211	0.0
-38.4318	-71.211	0.0
-37.5058	-71.211	0.0
-36.5797	-71.211	0.0
-35.6536	-71.211	0.0
-34.7276	-71.211	0.0
-33.8015	-71.211	0.0
-32.8754	-71.211	0.0
-31.9494	-71.211	0.0
-31.0233	-71.211	0.0
-30.0972	-71.211	0.0
-29.1711	-71.211	0.0
-28.2451	-71.211	0.0
-27.319	-71.211	0.0
-26.3929	-71.211	0.0
-25.4669	-71.211	0.0
-24.5408	-71.211	0.0
-23.6147	-71.211	0.0
-22.6887	-71.211	0.0
-21.7626	-71.211	0.0
-20.8365	-71.211	0.0
-19.9105	-71.211	0.0
-18.9844	-71.211	0.0
-18.0583	-71.211	0.0
-17.1323	-71.211	0.0
-16.2062	-71.211	0.0
-15.2801	-71.211	0.0
-14.3541	-71.211	0.0
-13.428	-71.211	0.0
-12.5019	-71.211	0.0
-11.5759	-71.211	0.0
-10.6498	-71.211	0.0
-9.7237	-71.211	0.0
-8.7976	-71.211	0.0
-7.8716	-71.211	0.0
-6.9455	-71.211	0.0
-6.0194	-71.211	0.0
-5.0934	-71.211	0.0
-4.1673	-71.211	0.0
-3.2412	-71.211	0.0
-2.3152	-71.211	0.0
-1.3891	-71.211	0.0
-0.463	-71.211	0.0
0.463	-71.211	0.0
1.3891	-71.211	0.0
2.3152	-71.211	0.0
3.2412	-71.211	0.0
4.1673	-71.211	0.0
5.0934	-71.211	0.0
6.0194	-71.211	0.0
6.9455	-71.211	0.0
7.8716	-71.211	0.0
8.7976	-71.211	0.0
9.7237	-71.211	0.0
10.6498	-71.211	0.0
11.5759	-71.211	0.0
12.5019	-71.211	0.0
13.428	-71.211	0.0
14.3541	-71.211	0.0
15.2801	-71.211	0.0
16.2062	-71.211	0.0
17.1323	-71.211	0.0
18.0583	-71.211	0.0
18.9844	-71.211	0.0
19.9105	-71.211	0.0
20.8365	-71.211	0.0
21.7626	-71.211	0.0
22.6887	-71.211	0.0
23.6147	-71.211	0.0
24.5408	-71.211	0.0
25.4669	-71.211	0.0
26.3929	-71.211	0.0
27.319	-71.211	0.0
28.2451	-71.211	0.0
29.1711	-71.211	0.0
30.0972	-71.211	0.0
31.0233	-71.211	0.0
31.9494	-71.211	0.0
32.8754	-71.211	0.0
33.8015	-71.211	0.0
34.7276	-71.211	0.0
35.6536	-71.211	0.0
36.5797	-71.211	0.0
37.5058	-71.211	0.0
38.4318	-71.211	0.0
39.3579	-71.211	0.0
40.284	-71.211	0.0
41.21	-71.211	0.0
42.1361	-71.211	0.0
43.0622	-71.211	0.0
43.9882	-71.211	0.0
44.9143	-71.211	0.0
45.8404	-71.211	0.0
46.7664	-71.211	0.0
47.6925	-71.211	0.0
48.6186	-71.211	0.0
49.5446	-71.211	0.0
50.4707	-71.211	0.0
51.3968	-71.211	0.0
52.3229	-71.211	0.0
53.2489	-71.211	0.0
54.175	-71.211	0.0
55.1011	-71.211	0.0
56.0271	-71.211	0.0
56.9532	-71.211	0.0
57.8793	-71.211	0.0
58.8053	-71.211	0.0
59.7314	-71.211	0.0
60.6575	-71.211	0.0
61.5835	-71.211	0.0
62.5096	-71.211	0.0
63.4357	-71.211	0.0
64.3617	-71.211	0.0
65.2878	-71.211	0.0
66.2139	-71.211	0.0
67.1399	-71.211	0.0
68.066	-71.211	0.0
68.9921	-71.211	0.0
69.9182	-71.211	0.0
70.8442	-71.211	0.0
71.7703	-71.211	0.0
72.6964	-71.211	0.0
73.6224	-71.211	0.0
74.5485	-71.211	0.0
75.4746	-71.211	0.0
76.4006	-71.211	0.0
77.3267	-71.211	0.0
78.2528	-71.211	0.0
79.1788	-71.211	0.0
80.1049	-71.211	0.0
81.031	-71.211	0.0
81.957	-71.211	0.0
82.8831	-71.211	0.0
83.8092	-71.211	0.0
84.7352	-71.211	0.0
85.6613	-71.211	0.0
86.5874	-71.211	0.0
87.5134	-71.211	0.0
88.4395	-71.211	0.0
89.3656	-71.211	0.0
90.2917	-71.211	0.0
91.2177	-71.211	0.0
92.1438	-71.211	0.0
-92.1438	-70.386	0.0
-91.2177	-70.386	0.0
-90.2917	-70.386	0.0
-89.3656	-70.386	0.0
-88.4395	-70.386	0.0
-87.5134	-70.386	0.0
-86.5874	-70.386	0.0
-85.6613	-70.386	0.0
-84.7352	-70.386	0.0
-83.8092	-70.386	0.0
-82.8831	-70.386	0.0
-81.957	-70.386	0.0
-81.031	-70.386	0.0
-80.1049	-70.386	0.0
-79.1788	-70.386	0.0
-78.2528	-70.386	0.0
-77.3267	-70.386	0.0
-76.4006	-70.386	0.0
-75.4746	-70.386	0.0
-74.5485	-70.386	0.0
-73.6224	-70.386	0.0
-72.6964	-70.386	0.0
-71.7703	-70.386	0.0
-70.8442	-70.386	0.0
-69.9182	-70.386	0.0
-68.9921	-70.386	0.0
-68.066	-70.386	0.0
-67.1399	-70.386	0.0
-66.2139	-70.386	0.0
-65.2878	-70.386	0.0
-64.3617	-70.386	0.0
-63.4357	-70.386	0.0
-62.5096	-70.386	0.0
