# x_nm	y_nm	p
# Raw mesh domain: 184.29 x 161.98 nm
# Grid: 200 x 200
5.0934	-69.0272	0.0
6.0194	-69.0272	0.0
6.9455	-69.0272	0.0
7.8716	-69.0272	0.0
8.7976	-69.0272	0.0
9.7237	-69.0272	0.0
10.6498	-69.0272	0.0
11.5759	-69.0272	0.0
12.5019	-69.0272	0.0
13.428	-69.0272	0.0
14.3541	-69.0272	0.0
15.2801	-69.0272	0.0
16.2062	-69.0272	0.0
17.1323	-69.0272	0.0
18.0583	-69.0272	0.0
18.9844	-69.0272	0.0
19.9105	-69.0272	0.0
20.8365	-69.0272	0.0
21.7626	-69.0272	0.0
22.6887	-69.0272	0.0
23.6147	-69.0272	0.0
24.5408	-69.0272	0.0
25.4669	-69.0272	0.0
26.3929	-69.0272	0.0
27.319	-69.0272	0.0
28.2451	-69.0272	0.0
29.1711	-69.0272	0.0
30.0972	-69.0272	0.0
31.0233	-69.0272	0.0
31.9494	-69.0272	0.0
32.8754	-69.0272	0.0
33.8015	-69.0272	0.0
34.7276	-69.0272	0.0
35.6536	-69.0272	0.0
36.5797	-69.0272	0.0
37.5058	-69.0272	0.0
38.4318	-69.0272	0.0
39.3579	-69.0272	0.0
40.284	-69.0272	0.0
41.21	-69.0272	0.0
42.1361	-69.0272	0.0
43.0622	-69.0272	0.0
43.9882	-69.0272	0.0
44.9143	-69.0272	0.0
45.8404	-69.0272	0.0
46.7664	-69.0272	0.0
47.6925	-69.0272	0.0
48.6186	-69.0272	0.0
49.5446	-69.0272	0.0
50.4707	-69.0272	0.0
51.3968	-69.0272	0.0
52.3229	-69.0272	0.0
53.2489	-69.0272	0.0
54.175	-69.0272	0.0
55.1011	-69.0272	0.0
56.0271	-69.0272	0.0
56.9532	-69.0272	0.0
57.8793	-69.0272	0.0
58.8053	-69.0272	0.0
59.7314	-69.0272	0.0
60.6575	-69.0272	0.0
61.5835	-69.0272	0.0
62.5096	-69.0272	0.0
63.4357	-69.0272	0.0
64.3617	-69.0272	0.0
65.2878	-69.0272	0.0
66.2139	-69.0272	0.0
67.1399	-69.0272	0.0
68.066	-69.0272	0.0
68.9921	-69.0272	0.0
69.9182	-69.0272	0.0
70.8442	-69.0272	0.0
71.7703	-69.0272	0.0
72.6964	-69.0272	0.0
73.6224	-69.0272	0.0
74.5485	-69.0272	0.0
75.4746	-69.0272	0.0
76.4006	-69.0272	0.0
77.3267	-69.0272	0.0
78.2528	-69.0272	0.0
79.1788	-69.0272	0.0
80.1049	-69.0272	0.0
81.031	-69.0272	0.0
81.957	-69.0272	0.0
82.8831	-69.0272	0.0
83.8092	-69.0272	0.0
84.7352	-69.0272	0.0
85.6613	-69.0272	0.0
86.5874	-69.0272	0.0
87.5134	-69.0272	0.0
88.4395	-69.0272	0.0
89.3656	-69.0272	0.0
90.2917	-69.0272	0.0
91.2177	-69.0272	0.0
92.1438	-69.0272	0.0
-92.1438	-68.2132	0.0
-91.2177	-68.2132	0.0
-90.2917	-68.2132	0.0
-89.3656	-68.2132	0.0
-88.4395	-68.2132	0.0
-87.5134	-68.2132	0.0
-86.5874	-68.2132	0.0
-85.6613	-68.2132	0.0
-84.7352	-68.2132	0.0
-83.8092	-68.2132	0.0
-82.8831	-68.2132	0.0
-81.957	-68.2132	0.0
-81.031	-68.2132	0.0
-80.1049	-68.2132	0.0
-79.1788	-68.2132	0.0
-78.2528	-68.2132	0.0
-77.3267	-68.2132	0.0
-76.4006	-68.2132	0.0
-75.4746	-68.2132	0.0
-74.5485	-68.2132	0.0
-73.6224	-68.2132	0.0
-72.6964	-68.2132	0.0
-71.7703	-68.2132	0.0
-70.8442	-68.2132	0.0
-69.9182	-68.2132	0.0
-68.9921	-68.2132	0.0
-68.066	-68.2132	0.0
-67.1399	-68.2132	0.0
-66.2139	-68.2132	0.0
-65.2878	-68.2132	0.0
-64.3617	-68.2132	0.0
-63.4357	-68.2132	0.0
-62.5096	-68.2132	0.0
-61.5835	-68.2132	0.0
-60.6575	-68.2132	0.0
-59.7314	-68.2132	0.0
-58.8053	-68.2132	0.0
-57.8793	-68.2132	0.0
-56.9532	-68.2132	0.0
-56.0271	-68.2132	0.0
-55.1011	-68.2132	0.0
-54.175	-68.2132	0.0
-53.2489	-68.2132	0.0
-52.3229	-68.2132	0.0
-51.3968	-68.2132	0.0
-50.4707	-68.2132	0.0
-49.5446	-68.2132	0.0
-48.6186	-68.2132	0.0
-47.6925	-68.2132	0.0
-46.7664	-68.2132	0.0
-45.8404	-68.2132	0.0
-44.9143	-68.2132	0.0
-43.9882	-68.2132	0.0
-43.0622	-68.2132	0.0
-42.1361	-68.2132	0.0
-41.21	-68.2132	0.0
-40.284	-68.2132	0.0
-39.3579	-68.2132	0.0
-38.4318	-68.2132	0.0
-37.5058	-68.2132	0.0
-36.5797	-68.2132	0.0
-35.6536	-68.2132	0.0
-34.7276	-68.2132	0.0
-33.8015	-68.2132	0.0
-32.8754	-68.2132	0.0
-31.9494	-68.2132	0.0
-31.0233	-68.2132	0.0
-30.0972	-68.2132	0.0
-29.1711	-68.2132	0.0
-28.2451	-68.2132	0.0
-27.319	-68.2132	0.0
-26.3929	-68.2132	0.0
-25.4669	-68.2132	0.0
-24.5408	-68.2132	0.0
-23.6147	-68.2132	0.0
-22.6887	-68.2132	0.0
-21.7626	-68.2132	0.0
-20.8365	-68.2132	0.0
-19.9105	-68.2132	0.0
-18.9844	-68.2132	0.0
-18.0583	-68.2132	0.0
-17.1323	-68.2132	0.0
-16.2062	-68.2132	0.0
-15.2801	-68.2132	0.0
-14.3541	-68.2132	0.0
-13.428	-68.2132	0.0
-12.5019	-68.2132	0.0
-11.5759	-68.2132	0.0
-10.6498	-68.2132	0.0
-9.7237	-68.2132	0.0
-8.7976	-68.2132	0.0
-7.8716	-68.2132	0.0
-6.9455	-68.2132	0.0
-6.0194	-68.2132	0.0
-5.0934	-68.2132	0.0
-4.1673	-68.2132	0.0
-3.2412	-68.2132	0.0
-2.3152	-68.2132	0.0
-1.3891	-68.2132	0.0
-0.463	-68.2132	0.0
0.463	-68.2132	0.0
1.3891	-68.2132	0.0
2.3152	-68.2132	0.0
3.2412	-68.2132	0.0
4.1673	-68.2132	0.0
5.0934	-68.2132	0.0
6.0194	-68.2132	0.0
6.9455	-68.2132	0.0
7.8716	-68.2132	0.0
8.7976	-68.2132	0.0
9.7237	-68.2132	0.0
10.6498	-68.2132	0.0
11.5759	-68.2132	0.0
12.5019	-68.2132	0.0
13.428	-68.2132	0.0
14.3541	-68.2132	0.0
15.2801	-68.2132	0.0
16.2062	-68.2132	0.0
17.1323	-68.2132	0.0
18.0583	-68.2132	0.0
18.9844	-68.2132	0.0
19.9105	-68.2132	0.0
20.8365	-68.2132	0.0
21.7626	-68.2132	0.0
22.6887	-68.2132	0.0
23.6147	-68.2132	0.0
24.5408	-68.2132	0.0
25.4669	-68.2132	0.0
26.3929	-68.2132	0.0
27.319	-68.2132	0.0
28.2451	-68.2132	0.0
29.1711	-68.2132	0.0
30.0972	-68.2132	0.0
31.0233	-68.2132	0.0
31.9494	-68.2132	0.0
32.8754	-68.2132	0.0
33.8015	-68.2132	0.0
34.7276	-68.2132	0.0
35.6536	-68.2132	0.0
36.5797	-68.2132	0.0
37.5058	-68.2132	0.0
38.4318	-68.2132	0.0
39.3579	-68.2132	0.0
40.284	-68.2132	0.0
41.21	-68.2132	0.0
42.1361	-68.2132	0.0
43.0622	-68.2132	0.0
43.9882	-68.2132	0.0
44.9143	-68.2132	0.0
45.8404	-68.2132	0.0
46.7664	-68.2132	0.0
47.6925	-68.2132	0.0
48.6186	-68.2132	0.0
49.5446	-68.2132	0.0
50.4707	-68.2132	0.0
51.3968	-68.2132	0.0
52.3229	-68.2132	0.0
53.2489	-68.2132	0.0
54.175	-68.2132	0.0
55.1011	-68.2132	0.0
56.0271	-68.2132	0.0
56.9532	-68.2132	0.0
57.8793	-68.2132	0.0
58.8053	-68.2132	0.0
59.7314	-68.2132	0.0
60.6575	-68.2132	0.0
61.5835	-68.2132	0.0
62.5096	-68.2132	0.0
63.4357	-68.2132	0.0
64.3617	-68.2132	0.0
65.2878	-68.2132	0.0
66.2139	-68.2132	0.0
67.1399	-68.2132	0.0
68.066	-68.2132	0.0
68.9921	-68.2132	0.0
69.9182	-68.2132	0.0
70.8442	-68.2132	0.0
71.7703	-68.2132	0.0
72.6964	-68.2132	0.0
73.6224	-68.2132	0.0
74.5485	-68.2132	0.0
75.4746	-68.2132	0.0
76.4006	-68.2132	0.0
77.3267	-68.2132	0.0
78.2528	-68.2132	0.0
79.1788	-68.2132	0.0
80.1049	-68.2132	0.0
81.031	-68.2132	0.0
81.957	-68.2132	0.0
82.8831	-68.2132	0.0
83.8092	-68.2132	0.0
84.7352	-68.2132	0.0
85.6613	-68.2132	0.0
86.5874	-68.2132	0.0
87.5134	-68.2132	0.0
88.4395	-68.2132	0.0
89.3656	-68.2132	0.0
90.2917	-68.2132	0.0
91.2177	-68.2132	0.0
92.1438	-68.2132	0.0
-92.1438	-67.3992	0.0
-91.2177	-67.3992	0.0
-90.2917	-67.3992	0.0
-89.3656	-67.3992	0.0
-88.4395	-67.3992	0.0
-87.5134	-67.3992	0.0
-86.5874	-67.3992	0.0
-85.6613	-67.3992	0.0
-84.7352	-67.3992	0.0
-83.8092	-67.3992	0.0
-82.8831	-67.3992	0.0
-81.957	-67.3992	0.0
-81.031	-67.3992	0.0
-80.1049	-67.3992	0.0
-79.1788	-67.3992	0.0
-78.2528	-67.3992	0.0
-77.3267	-67.3992	0.0
-76.4006	-67.3992	0.0
-75.4746	-67.3992	0.0
-74.5485	-67.3992	0.0
-73.6224	-67.3992	0.0
-72.6964	-67.3992	0.0
-71.7703	-67.3992	0.0
-70.8442	-67.3992	0.0
-69.9182	-67.3992	0.0
-68.9921	-67.3992	0.0
-68.066	-67.3992	0.0
-67.1399	-67.3992	0.0
-66.2139	-67.3992	0.0
-65.2878	-67.3992	0.0
-64.3617	-67.3992	0.0
-63.4357	-67.3992	0.0
-62.5096	-67.3992	0.0
-61.5835	-67.3992	0.0
-60.6575	-67.3992	0.0
-59.7314	-67.3992	0.0
-58.8053	-67.3992	0.0
-57.8793	-67.3992	0.0
-56.9532	-67.3992	0.0
-56.0271	-67.3992	0.0
-55.1011	-67.3992	0.0
-54.175	-67.3992	0.0
-53.2489	-67.3992	0.0
-52.3229	-67.3992	0.0
-51.3968	-67.3992	0.0
-50.4707	-67.3992	0.0
-49.5446	-67.3992	0.0
-48.6186	-67.3992	0.0
-47.6925	-67.3992	0.0
-46.7664	-67.3992	0.0
-45.8404	-67.3992	0.0
-44.9143	-67.3992	0.0
-43.9882	-67.3992	0.0
-43.0622	-67.3992	0.0
-42.1361	-67.3992	0.0
-41.21	-67.3992	0.0
-40.284	-67.3992	0.0
-39.3579	-67.3992	0.0
-38.4318	-67.3992	0.0
-37.5058	-67.3992	0.0
-36.5797	-67.3992	0.0
-35.6536	-67.3992	0.0
-34.7276	-67.3992	0.0
-33.8015	-67.3992	0.0
-32.8754	-67.3992	0.0
-31.9494	-67.3992	0.0
-31.0233	-67.3992	0.0
-30.0972	-67.3992	0.0
-29.1711	-67.3992	0.0
-28.2451	-67.3992	0.0
-27.319	-67.3992	0.0
-26.3929	-67.3992	0.0
-25.4669	-67.3992	0.0
-24.5408	-67.3992	0.0
-23.6147	-67.3992	0.0
-22.6887	-67.3992	0.0
-21.7626	-67.3992	0.0
-20.8365	-67.3992	0.0
-19.9105	-67.3992	0.0
-18.9844	-67.3992	0.0
-18.0583	-67.3992	0.0
-17.1323	-67.3992	0.0
-16.2062	-67.3992	0.0
-15.2801	-67.3992	0.0
-14.3541	-67.3992	0.0
-13.428	-67.3992	0.0
-12.5019	-67.3992	0.0
-11.5759	-67.3992	0.0
-10.6498	-67.3992	0.0
-9.7237	-67.3992	0.0
-8.7976	-67.3992	0.0
-7.8716	-67.3992	0.0
-6.9455	-67.3992	0.0
-6.0194	-67.3992	0.0
-5.0934	-67.3992	0.0
-4.1673	-67.3992	0.0
-3.2412	-67.3992	0.0
-2.3152	-67.3992	0.0
-1.3891	-67.3992	0.0
-0.463	-67.3992	0.0
0.463	-67.3992	0.0
1.3891	-67.3992	0.0
2.3152	-67.3992	0.0
3.2412	-67.3992	0.0
4.1673	-67.3992	0.0
5.0934	-67.3992	0.0
6.0194	-67.3992	0.0
6.9455	-67.3992	0.0
7.8716	-67.3992	0.0
8.7976	-67.3992	0.0
9.7237	-67.3992	0.0
10.6498	-67.3992	0.0
11.5759	-67.3992	0.0
12.5019	-67.3992	0.0
13.428	-67.3992	0.0
14.3541	-67.3992	0.0
15.2801	-67.3992	0.0
16.2062	-67.3992	0.0
17.1323	-67.3992	0.0
18.0583	-67.3992	0.0
18.9844	-67.3992	0.0
19.9105	-67.3992	0.0
20.8365	-67.3992	0.0
21.7626	-67.3992	0.0
22.6887	-67.3992	0.0
23.6147	-67.3992	0.0
24.5408	-67.3992	0.0
25.4669	-67.3992	0.0
26.3929	-67.3992	0.0
27.319	-67.3992	0.0
28.2451	-67.3992	0.0
29.1711	-67.3992	0.0
30.0972	-67.3992	0.0
31.0233	-67.3992	0.0
31.9494	-67.3992	0.0
32.8754	-67.3992	0.0
33.8015	-67.3992	0.0
34.7276	-67.3992	0.0
35.6536	-67.3992	0.0
36.5797	-67.3992	0.0
37.5058	-67.3992	0.0
38.4318	-67.3992	0.0
39.3579	-67.3992	0.0
40.284	-67.3992	0.0
41.21	-67.3992	0.0
42.1361	-67.3992	0.0
43.0622	-67.3992	0.0
43.9882	-67.3992	0.0
44.9143	-67.3992	0.0
45.8404	-67.3992	0.0
46.7664	-67.3992	0.0
47.6925	-67.3992	0.0
48.6186	-67.3992	0.0
49.5446	-67.3992	0.0
50.4707	-67.3992	0.0
51.3968	-67.3992	0.0
52.3229	-67.3992	0.0
53.2489	-67.3992	0.0
54.175	-67.3992	0.0
55.1011	-67.3992	0.0
56.0271	-67.3992	0.0
56.9532	-67.3992	0.0
57.8793	-67.3992	0.0
58.8053	-67.3992	0.0
59.7314	-67.3992	0.0
60.6575	-67.3992	0.0
61.5835	-67.3992	0.0
62.5096	-67.3992	0.0
63.4357	-67.3992	0.0
64.3617	-67.3992	0.0
65.2878	-67.3992	0.0
66.2139	-67.3992	0.0
67.1399	-67.3992	0.0
68.066	-67.3992	0.0
68.9921	-67.3992	0.0
69.9182	-67.3992	0.0
70.8442	-67.3992	0.0
71.7703	-67.3992	0.0
72.6964	-67.3992	0.0
73.6224	-67.3992	0.0
74.5485	-67.3992	0.0
75.4746	-67.3992	0.0
76.4006	-67.3992	0.0
77.3267	-67.3992	0.0
78.2528	-67.3992	0.0
79.1788	-67.3992	0.0
80.1049	-67.3992	0.0
81.031	-67.3992	0.0
81.957	-67.3992	0.0
82.8831	-67.3992	0.0
83.8092	-67.3992	0.0
84.7352	-67.3992	0.0
85.6613	-67.3992	0.0
86.5874	-67.3992	0.0
87.5134	-67.3992	0.0
88.4395	-67.3992	0.0
89.3656	-67.3992	0.0
90.2917	-67.3992	0.0
91.2177	-67.3992	0.0
92.1438	-67.3992	0.0
-92.1438	-66.5852	0.0
-91.2177	-66.5852	0.0
-90.2917	-66.5852	0.0
-89.3656	-66.5852	0.0
-88.4395	-66.5852	0.0
-87.5134	-66.5852	0.0
-86.5874	-66.5852	0.0
-85.6613	-66.5852	0.0
-84.7352	-66.5852	0.0
-83.8092	-66.5852	0.0
-82.8831	-66.5852	0.0
-81.957	-66.5852	0.0
-81.031	-66.5852	0.0
-80.1049	-66.5852	0.0
-79.1788	-66.5852	0.0
-78.2528	-66.5852	0.0
-77.3267	-66.5852	0.0
-76.4006	-66.5852	0.0
-75.4746	-66.5852	0.0
-74.5485	-66.5852	0.0
-73.6224	-66.5852	0.0
-72.6964	-66.5852	0.0
-71.7703	-66.5852	0.0
-70.8442	-66.5852	0.0
-69.9182	-66.5852	0.0
-68.9921	-66.5852	0.0
-68.066	-66.5852	0.0
-67.1399	-66.5852	0.0
-66.2139	-66.5852	0.0
-65.2878	-66.5852	0.0
-64.3617	-66.5852	0.0
-63.4357	-66.5852	0.0
-62.5096	-66.5852	0.0
-61.5835	-66.5852	0.0
-60.6575	-66.5852	0.0
-59.7314	-66.5852	0.0
-58.8053	-66.5852	0.0
-57.8793	-66.5852	0.0
-56.9532	-66.5852	0.0
-56.0271	-66.5852	0.0
-55.1011	-66.5852	0.0
-54.175	-66.5852	0.0
-53.2489	-66.5852	0.0
-52.3229	-66.5852	0.0
-51.3968	-66.5852	0.0
-50.4707	-66.5852	0.0
-49.5446	-66.5852	0.0
-48.6186	-66.5852	0.0
-47.6925	-66.5852	0.0
-46.7664	-66.5852	0.0
-45.8404	-66.5852	0.0
-44.9143	-66.5852	0.0
-43.9882	-66.5852	0.0
-43.0622	-66.5852	0.0
-42.1361	-66.5852	0.0
-41.21	-66.5852	0.0
-40.284	-66.5852	0.0
-39.3579	-66.5852	0.0
-38.4318	-66.5852	0.0
-37.5058	-66.5852	0.0
-36.5797	-66.5852	0.0
-35.6536	-66.5852	0.0
-34.7276	-66.5852	0.0
-33.8015	-66.5852	0.0
